player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,0,1,0,2.775
"Schauffele, Xander",PGA TOUR,2,0,5,0,2.178
"McIlroy, Rory",PGA TOUR,3,0,2,0,1.956
"Rahm, Jon",PGA TOUR,4,0,3,0,1.889
"Hovland, Viktor",PGA TOUR,5,0,6,0,1.583
"Aberg, Ludvig",PGA TOUR,6,0,9,0,1.579
"Niemann, Joaquin",LIV Tour,7,2,93,-2,1.469
"Cantlay, Patrick",PGA TOUR,8,0,7,0,1.46
"Henley, Russell",PGA TOUR,9,6,17,6,1.421
"Hatton, Tyrrell",PGA TOUR,10,2,19,-2,1.405
"Clark, Wyndham",PGA TOUR,11,-1,4,0,1.374
"Fleetwood, Tommy",PGA TOUR,12,5,13,-1,1.347
"Matsuyama, Hideki",PGA TOUR,13,5,12,2,1.345
"Homa, Max",PGA TOUR,14,-3,11,-1,1.331
"Fitzpatrick, Matt",PGA TOUR,15,1,10,1,1.321
"Burns, Sam",PGA TOUR,16,-3,22,-2,1.306
"Theegala, Sahith",PGA TOUR,17,-3,15,0,1.306
"McCarthy, Denny",PGA TOUR,18,23,30,21,1.285
"Morikawa, Collin",PGA TOUR,19,-12,20,-4,1.266
"Spieth, Jordan",PGA TOUR,20,0,18,1,1.223
"DeChambeau, Bryson",LIV Tour,21,0,210,-2,1.215
"Young, Cameron",PGA TOUR,22,-3,14,-1,1.176
"Harman, Brian",PGA TOUR,23,-1,8,0,1.142
"Conners, Corey",PGA TOUR,24,1,49,-2,1.134
"Thomas, Justin",PGA TOUR,25,-2,28,0,1.121
"Finau, Tony",PGA TOUR,26,-2,26,0,1.119
"Noren, Alex",PGA TOUR,27,1,65,1,1.109
"Kim, Si Woo",PGA TOUR,28,-2,48,-3,1.107
"Lowry, Shane",PGA TOUR,29,-2,36,-3,1.081
"Bezuidenhout, Christiaan",PGA TOUR,30,-1,56,2,1.077
"Scott, Adam",PGA TOUR,31,1,53,-1,1.029
"Bhatia, Akshay",PGA TOUR,32,41,34,53,0.991
"Gooch, Talor",LIV Tour,33,6,9999,0,0.97
"Hoge, Tom",PGA TOUR,34,-1,60,-3,0.961
"Oosthuizen, Louis",LIV Tour,35,8,117,1,0.953
"Poston, J.T.",PGA TOUR,36,-1,47,-3,0.95
"Jaeger, Stephan",PGA TOUR,37,-1,42,1,0.926
"English, Harris",PGA TOUR,38,-8,45,-5,0.921
"Day, Jason",PGA TOUR,39,-2,21,1,0.92
"Cole, Eric",PGA TOUR,40,-6,40,-2,0.865
"Hadwin, Adam",PGA TOUR,41,1,46,0,0.862
"An, Byeong Hun",PGA TOUR,42,-11,44,-2,0.862
"Burmester, Dean",LIV Tour,43,21,116,-3,0.86
"Johnson, Dustin",LIV Tour,44,-4,336,-9,0.853
"Todd, Brendon",PGA TOUR,45,18,61,7,0.837
"Schenk, Adam",PGA TOUR,46,19,51,8,0.825
"Putnam, Andrew",PGA TOUR,47,8,71,-1,0.819
"Kirk, Chris",PGA TOUR,48,-2,27,0,0.798
"Pavon, Matthieu",DP World Tour,49,-2,25,-1,0.788
"Glover, Lucas",PGA TOUR,50,7,35,0,0.787
"Grillo, Emiliano",PGA TOUR,51,-3,39,-3,0.784
"Taylor, Nick",PGA TOUR,52,-3,24,1,0.781
"Bradley, Keegan",PGA TOUR,53,-2,16,2,0.774
"Lee, Min Woo",PGA TOUR,54,-2,32,0,0.77
"Moore, Taylor",PGA TOUR,55,-2,55,-2,0.77
"Meronk, Adrian",DP World Tour,56,5,57,-2,0.753
"Kim, Tom",PGA TOUR,57,-19,23,-2,0.738
"Im, Sungjae",PGA TOUR,58,-2,41,-2,0.731
"Smith, Cameron",LIV Tour,59,-14,68,-6,0.722
"Zalatoris, Will",PGA TOUR,60,0,31,-1,0.712
"Hubbard, Mark",PGA TOUR,61,7,75,-1,0.68
"Van Rooyen, Erik",PGA TOUR,62,-3,63,-2,0.677
"Horschel, Billy",PGA TOUR,63,-9,83,-3,0.671
"Rai, Aaron",PGA TOUR,64,-6,76,-3,0.67
"Hughes, Mackenzie",PGA TOUR,65,-3,64,-1,0.667
"Mitchell, Keith",PGA TOUR,66,8,73,2,0.647
"Eckroat, Austin",PGA TOUR,67,2,50,0,0.636
"Koepka, Brooks",LIV Tour,68,-24,33,-2,0.617
"Reed, Patrick",LIV Tour,69,11,112,-5,0.613
"Straka, Sepp",PGA TOUR,70,-3,29,0,0.611
"Ortiz, Carlos",LIV Tour,71,5,222,-1,0.609
"Hossler, Beau",PGA TOUR,72,-22,77,-1,0.609
"Garcia, Sergio",LIV Tour,73,21,9999,0,0.597
"Kitayama, Kurt",PGA TOUR,74,-4,43,-2,0.584
"Ancer, Abraham",LIV Tour,75,11,213,-4,0.549
"McNealy, Maverick",PGA TOUR,76,-5,100,2,0.547
"Griffin, Ben",PGA TOUR,77,1,90,5,0.545
"Casey, Paul",LIV Tour,78,4,9999,0,0.545
"Ghim, Doug",PGA TOUR,79,-7,123,0,0.523
"Olesen, Thorbjorn",DP World Tour,80,10,72,-1,0.513
"Hojgaard, Nicolai",PGA TOUR,81,-15,38,-1,0.492
"Thompson, Davis",PGA TOUR,82,1,120,2,0.471
"Detry, Thomas",PGA TOUR,83,2,66,-2,0.437
"Lashley, Nate",PGA TOUR,84,12,111,5,0.415
"List, Luke",PGA TOUR,85,3,67,-2,0.414
"Hojgaard, Rasmus",DP World Tour,86,5,81,0,0.401
"Rose, Justin",PGA TOUR,87,6,58,-2,0.375
"Howell III, Charles",LIV Tour,88,-13,9999,0,0.367
"Hodges, Lee",PGA TOUR,89,0,74,-2,0.366
"Nakajima, Keita",Other Tours,90,5,79,-1,0.366
"Knapp, Jake",PGA TOUR,91,6,52,-4,0.364
"Perez, Victor",PGA TOUR,92,9,91,-1,0.362
"Hisatsune, Ryo",PGA TOUR,93,-14,87,-1,0.362
"Davis, Cameron",PGA TOUR,94,4,62,-2,0.352
"Soderberg, Sebastian",DP World Tour,95,4,129,-3,0.352
"Bland, Richard",LIV Tour,96,13,9999,0,0.352
"Kokrak, Jason",LIV Tour,97,5,9999,0,0.315
"Tringale, Cameron",LIV Tour,98,7,9999,0,0.315
"Puig, David",LIV Tour,99,-15,108,1,0.313
"Montgomery, Taylor",PGA TOUR,100,-23,85,-1,0.31
"Leishman, Marc",LIV Tour,101,28,473,-12,0.3
"Bjork, Alexander",PGA TOUR,102,16,97,1,0.269
"Fowler, Rickie",PGA TOUR,103,0,37,-3,0.264
"Smith, Jordan",DP World Tour,104,3,92,0,0.262
"Rodgers, Patrick",PGA TOUR,105,-13,86,-1,0.252
"Paul, Yannik",DP World Tour,106,4,122,-1,0.249
