player_name,primary_tour,dg_rank,dg_change,dg_index,owgr_rank,owgr_change,dg_points_rank,dg_points_change
"Scheffler, Scottie",PGA Tour,1,0,2.663,1,0,null,0
"McIlroy, Rory",PGA Tour,2,0,2.21,2,0,null,0
"Morikawa, Collin",PGA Tour,3,0,2.02,4,0,null,0
"Rahm, Jon",LIV Golf,4,0,1.826,80,-5,null,0
"Thomas, Justin",PGA Tour,5,0,1.67,8,1,null,0
"Henley, Russell",PGA Tour,6,0,1.643,7,0,null,0
"Schauffele, Xander",PGA Tour,7,3,1.513,3,0,null,0
"Lowry, Shane",PGA Tour,8,3,1.5,13,-1,null,0
"Cantlay, Patrick",PGA Tour,9,-1,1.472,16,-1,null,0
"DeChambeau, Bryson",LIV Golf,10,5,1.416,19,0,null,0
"Fleetwood, Tommy",PGA Tour,11,-4,1.391,12,-1,null,0
"Conners, Corey",PGA Tour,12,2,1.389,21,0,null,0
"Niemann, Joaquin",LIV Golf,13,-4,1.359,89,-5,null,0
"Matsuyama, Hideki",PGA Tour,14,-2,1.342,6,0,null,0
"Straka, Sepp",PGA Tour,15,2,1.306,14,-1,null,0
"Hatton, Tyrrell",LIV Golf,16,-3,1.259,18,0,null,0
"MacIntyre, Robert",PGA Tour,17,1,1.249,17,0,null,0
"Aberg, Ludvig",PGA Tour,18,-2,1.226,5,0,null,0
"McCarthy, Denny",PGA Tour,19,1,1.156,40,0,null,0
"Garcia, Sergio",LIV Golf,20,8,1.153,388,-2,null,0
"Spaun, J.J.",PGA Tour,21,0,1.118,29,-1,null,0
"Bradley, Keegan",PGA Tour,22,-3,1.095,15,-1,null,0
"Lee, Min Woo",PGA Tour,23,0,1.037,23,-1,null,0
"Bhatia, Akshay",PGA Tour,24,-2,1.033,24,-1,null,0
"Glover, Lucas",PGA Tour,25,-1,1.032,30,-1,null,0
"Rai, Aaron",PGA Tour,26,-1,1.026,28,-1,null,0
"Hovland, Viktor",PGA Tour,27,-1,0.988,9,-1,null,0
"Pendrith, Taylor",PGA Tour,28,-1,0.986,41,-2,null,0
"Kim, Michael",PGA Tour,29,0,0.981,51,-1,null,0
"Day, Jason",PGA Tour,30,0,0.961,36,0,null,0
"Berger, Daniel",PGA Tour,31,0,0.951,43,1,null,0
"Im, Sungjae",PGA Tour,32,1,0.925,25,-1,null,0
"McNealy, Maverick",PGA Tour,33,13,0.878,10,6,null,0
"Clark, Wyndham",PGA Tour,34,3,0.858,11,-1,null,0
"Burns, Sam",PGA Tour,35,-3,0.85,37,-2,null,0
"Poston, J.T.",PGA Tour,36,3,0.846,46,-1,null,0
"Thompson, Davis",PGA Tour,37,1,0.841,49,-2,null,0
"Kim, Si Woo",PGA Tour,38,-3,0.803,69,-2,null,0
"Bridgeman, Jacob",PGA Tour,39,1,0.793,68,0,null,0
"Jaeger, Stephan",PGA Tour,40,1,0.793,44,-2,null,0
"Zalatoris, Will",PGA Tour,41,2,0.785,66,-3,null,0
"Finau, Tony",PGA Tour,42,-6,0.773,34,-1,null,0
"Koepka, Brooks",LIV Golf,43,2,0.769,249,-18,null,0
"Griffin, Ben",PGA Tour,44,-2,0.766,53,-2,null,0
"Horschel, Billy",PGA Tour,45,2,0.714,20,0,null,0
"An, Byeong Hun",PGA Tour,46,2,0.71,35,-1,null,0
"Scott, Adam",PGA Tour,47,2,0.709,32,0,null,0
"Ortiz, Carlos",LIV Golf,48,23,0.699,214,1,null,0
"Hall, Harry",PGA Tour,49,2,0.693,94,3,null,0
"Harman, Brian",PGA Tour,50,36,0.674,22,27,null,0
"Cauley, Bud",PGA Tour,51,12,0.67,85,16,null,0
"Gerard, Ryan",PGA Tour,52,28,0.664,79,64,null,0
"Puig, David",LIV Golf,53,1,0.65,98,-6,null,0
"Reed, Patrick",LIV Golf,54,10,0.642,116,-4,null,0
"Spieth, Jordan",PGA Tour,55,13,0.636,65,1,null,0
"Kim, Tom",PGA Tour,56,-12,0.631,33,-2,null,0
"English, Harris",PGA Tour,57,-5,0.624,38,-1,null,0
"Greyserman, Max",PGA Tour,58,-5,0.608,45,-2,null,0
"Burmester, Dean",LIV Golf,59,0,0.6,156,-6,null,0
"Detry, Thomas",PGA Tour,60,-5,0.596,27,-1,null,0
"Moore, Taylor",PGA Tour,61,-5,0.585,87,-4,null,0
"Highsmith, Joe",PGA Tour,62,-5,0.583,62,-1,null,0
"Novak, Andrew",PGA Tour,63,24,0.578,61,19,null,0
"Clanton, Luke",PGA Tour,64,-6,0.569,96,-3,null,0
"Mitchell, Keith",PGA Tour,65,17,0.565,99,8,null,0
"Leishman, Marc",LIV Golf,66,40,0.562,455,-6,null,0
"Neergaard-Petersen, Rasmus",DP World Tour,67,-7,0.553,77,-1,null,0
"Smith, Cameron",LIV Golf,68,15,0.543,127,-4,null,0
"McKibbin, Tom",DP World Tour,69,7,0.538,117,-4,null,0
"Hughes, Mackenzie",PGA Tour,70,-8,0.536,63,-1,null,0
"Tringale, Cameron",LIV Golf,71,6,0.534,null,0,null,0
"Bezuidenhout, Christiaan",PGA Tour,72,-7,0.532,57,-1,null,0
"Munoz, Sebastian",LIV Golf,73,-7,0.528,null,0,null,0
"Canter, Laurie",DP World Tour,74,-2,0.509,50,-2,null,0
"Taylor, Nick",PGA Tour,75,-2,0.506,31,-1,null,0
"Smalley, Alex",PGA Tour,76,-7,0.499,125,-1,null,0
"Theegala, Sahith",PGA Tour,77,-2,0.494,26,-1,null,0
"Olesen, Thorbjorn",DP World Tour,78,17,0.49,78,8,null,0
"Hodges, Lee",PGA Tour,79,-18,0.479,95,-7,null,0
"Hoge, Tom",PGA Tour,80,17,0.475,47,6,null,0
"Kuchar, Matt",PGA Tour,81,13,0.455,131,3,null,0
"Rodgers, Patrick",PGA Tour,82,-8,0.443,71,0,null,0
"Oosthuizen, Louis",LIV Golf,83,-16,0.441,267,-6,null,0
"Herbert, Lucas",LIV Golf,84,7,0.428,285,-8,null,0
"Casey, Paul",LIV Golf,85,-7,0.42,null,0,null,0
"Ancer, Abraham",LIV Golf,86,-36,0.415,443,-5,null,0
"Stevens, Sam",PGA Tour,87,-8,0.413,76,1,null,0
"Yu, Kevin",PGA Tour,88,2,0.394,72,0,null,0
"Cole, Eric",PGA Tour,89,13,0.394,60,0,null,0
"Woodland, Gary",PGA Tour,90,2,0.381,92,2,null,0
"Power, Seamus",PGA Tour,91,-21,0.381,120,-3,null,0
