player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Scheffler, Scottie",PGA TOUR,1,0,1,0,3.108
"Schauffele, Xander",PGA TOUR,2,0,2,0,2.528
"McIlroy, Rory",PGA TOUR,3,0,3,0,2.203
"Morikawa, Collin",PGA TOUR,4,0,7,1,1.997
"Aberg, Ludvig",PGA TOUR,5,0,6,0,1.809
"Hovland, Viktor",PGA TOUR,6,1,5,0,1.67
"Rahm, Jon",LIV Tour,7,-1,8,-1,1.626
"Henley, Russell",PGA TOUR,8,0,17,-1,1.49
"Fleetwood, Tommy",PGA TOUR,9,2,13,-1,1.485
"Matsuyama, Hideki",PGA TOUR,10,6,14,1,1.411
"DeChambeau, Bryson",LIV Tour,11,-1,38,-2,1.388
"Niemann, Joaquin",LIV Tour,12,-3,98,-3,1.36
"Conners, Corey",PGA TOUR,13,2,46,-1,1.337
"Bezuidenhout, Christiaan",PGA TOUR,14,8,40,17,1.319
"Cantlay, Patrick",PGA TOUR,15,-3,9,0,1.312
"Hatton, Tyrrell",LIV Tour,16,-3,20,-2,1.309
"Thomas, Justin",PGA TOUR,17,-3,25,-2,1.299
"Homa, Max",PGA TOUR,18,-1,10,0,1.269
"Theegala, Sahith",PGA TOUR,19,2,11,2,1.264
"Fitzpatrick, Matt",PGA TOUR,20,7,16,1,1.256
"Straka, Sepp",PGA TOUR,21,8,18,3,1.222
"Noren, Alex",PGA TOUR,22,-4,52,4,1.209
"Burns, Sam",PGA TOUR,23,0,27,0,1.194
"Finau, Tony",PGA TOUR,24,6,28,1,1.192
"An, Byeong Hun",PGA TOUR,25,-1,23,3,1.145
"McCarthy, Denny",PGA TOUR,26,-7,31,0,1.134
"Im, Sungjae",PGA TOUR,27,13,30,2,1.124
"Horschel, Billy",PGA TOUR,28,10,62,4,1.081
"Harman, Brian",PGA TOUR,29,-1,12,-1,1.055
"Bradley, Keegan",PGA TOUR,30,-10,15,-1,1.054
"Kim, Si Woo",PGA TOUR,31,10,45,1,1.043
"Day, Jason",PGA TOUR,32,-1,21,-1,1.033
"Clark, Wyndham",PGA TOUR,33,-8,4,0,1.032
"Burmester, Dean",LIV Tour,34,-8,111,-2,1.032
"Oosthuizen, Louis",LIV Tour,35,-1,135,-3,0.996
"Koepka, Brooks",LIV Tour,36,11,43,-2,0.959
"Hoge, Tom",PGA TOUR,37,-5,63,-1,0.937
"Lee, Min Woo",PGA TOUR,38,5,36,-1,0.934
"Gooch, Talor",LIV Tour,39,0,9999,0,0.933
"Kim, Tom",PGA TOUR,40,-4,22,0,0.928
"Scott, Adam",PGA TOUR,41,4,61,-1,0.921
"Poston, J.T.",PGA TOUR,42,8,47,-3,0.915
"Reed, Patrick",LIV Tour,43,10,101,-1,0.906
"English, Harris",PGA TOUR,44,-9,53,-2,0.899
"Glover, Lucas",PGA TOUR,45,-12,37,-3,0.877
"Spieth, Jordan",PGA TOUR,46,-4,26,-1,0.876
"McNealy, Maverick",PGA TOUR,47,2,86,-1,0.865
"Hughes, Mackenzie",PGA TOUR,48,0,66,-1,0.807
