Name,Position,Status
Davis Riley,1,not started
Patton Kizzire,2,not started
Kevin Yu,3,not started
Jhonattan Vegas,4,not started
Nicolai Hojgaard,5,not started
Mike Weir,6,not started
Michael Kim,7,not started
Cameron Young,8,not started
Zach Johnson,9,not started
Joe Highsmith,10,not started
Chris Kirk,11,not started
Danny Willett,12,not started
Nico Echavarria,13,not started
Davis Thompson,14,not started
Bernhard Langer,15,not started
Will Zalatoris,16,not started
Noah Kent,17,not started
Cameron Smith,18,not started
J.T. Poston,19,not started
Aaron Rai,20,not started
Fred Couples,21,not started
Harris English,22,not started
Taylor Pendrith,23,not started
Corey Conners,24,not started
Brian Harman,25,not started
Stephan Jaeger,26,not started
Patrick Reed,27,not started
Max Greyserman,28,not started
Byeong Hun An,29,not started
Robert MacIntyre,30,not started
Billy Horschel,31,not started
Nick Dunlap,32,not started
Collin Morikawa,33,not started
Joaquin Niemann,34,not started
Min Woo Lee,35,not started
Phil Mickelson,36,not started
Jason Day,37,not started
Keegan Bradley,38,not started
Scottie Scheffler,39,not started
Justin Thomas,40,not started
Jose Luis Ballester Barrio,41,not started
Jordan Spieth,42,not started
Tom Kim,43,not started
Tyrrell Hatton,44,not started
Tony Finau,45,not started
Maverick McNealy,46,not started
Thomas Detry,47,not started
Cam Davis,48,not started
Rafael Campos,49,not started
Austin Eckroat,50,not started
Ángel Cabrera,51,not started
Laurie Canter,52,not started
Adam Schenk,53,not started
José María Olazábal,54,not started
Thriston Lawrence,55,not started
Brian Campbell,56,not started
Bubba Watson,57,not started
Matthieu Pavon,58,not started
Evan Beck,59,not started
Tom Hoge,60,not started
Matt McCarty,61,not started
Christiaan Bezuidenhout,62,not started
Charl Schwartzel,63,not started
Denny McCarthy,64,not started
Hiroshi Tai,65,not started
Max Homa,66,not started
Justin Rose,67,not started
J.J. Spaun,68,not started
Dustin Johnson,69,not started
Nick Taylor,70,not started
Justin Hastings,71,not started
Sergio Garcia,72,not started
Lucas Glover,73,not started
Daniel Berger,74,not started
Patrick Cantlay,75,not started
Rasmus Hojgaard,76,not started
Matt Fitzpatrick,77,not started
Brooks Koepka,78,not started
Russell Henley,79,not started
Sungjae Im,80,not started
Adam Scott,81,not started
Xander Schauffele,82,not started
Viktor Hovland,83,not started
Rory McIlroy,84,not started
Ludvig Aberg,85,not started
Akshay Bhatia,86,not started
Hideki Matsuyama,87,not started
Bryson DeChambeau,88,not started
Shane Lowry,89,not started
Jon Rahm,90,not started
Wyndham Clark,91,not started
Tommy Fleetwood,92,not started
Sahith Theegala,93,not started
Sepp Straka,94,not started
Sam Burns,95,not started
